,DATE,S,I,Q,R,D,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10
53,2020-03-20,51336322.57784626,118.70875828635018,6806.023762079075,307.82132073140434,5.631834320794608,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
54,2020-03-21,51336483.587412745,110.66921353679972,6595.431235431255,365.1977854385245,5.8778745212284615,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0
55,2020-03-22,51336735.1936285,103.32828572168101,6295.290736464184,420.89412280550425,6.056748183904201,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
56,2020-03-23,51337053.6811054,99.19067355395168,5940.972260149836,460.6867025182398,6.232780054414749,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
57,2020-03-24,51337403.50815867,100.42445829204446,5580.906759906777,469.447202687942,6.476942120296063,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
58,2020-03-25,51337752.20237233,107.9382093932881,5255.9132879397,437.8960720317328,6.813579974522857,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
59,2020-03-26,51338079.56840565,117.60244911059513,4976.363291597783,380.14884169037754,7.080533631824883,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
60,2020-03-27,51338368.48018664,124.02818789577411,4745.016317016331,316.1698134105523,7.069016712370656,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
61,2020-03-28,51338605.88257767,123.34933534114236,4561.923417311086,262.97248196289235,6.635709391572171,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
62,2020-03-29,51338795.00417828,117.79139760105257,4416.301673519555,225.76711421386804,5.8991580658153575,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
63,2020-03-30,51338943.1445223,111.10277997036617,4294.6596736596875,206.8131700539087,5.043375686729625,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
64,2020-03-31,51339059.81458549,106.10526788847834,4184.632531722196,205.95618196997924,4.254954597350913,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
65,2020-04-01,51339163.37111117,101.91416737291874,4078.361465588862,213.38597283518746,3.7308047063412637,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
66,2020-04-02,51339274.38228454,96.71816458575073,3969.1142191142308,216.8784381191767,3.6704153137692495,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
